label,num_gaussians,height,width,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
N1000_1920x1080,1000,1080,1920,3.29803905248642,2.831104040145874,5.311488151550293,5.701632022857666,2.703200101852417,5.701632022857666
N1000_2560x1440,1000,1440,2560,4.939893774986267,4.229119777679443,7.060480117797852,9.313216209411621,4.16153621673584,9.313216209411621
N1000_3840x2160,1000,2160,3840,10.186899251937866,9.785344123840332,12.817407608032227,17.258495330810547,8.532992362976074,17.258495330810547
N5000_1920x1080,5000,1080,1920,3.2579110360145567,2.8251519203186035,5.143551826477051,5.428095817565918,2.747391939163208,5.428095817565918
N5000_2560x1440,5000,1440,2560,5.09634527683258,4.747136116027832,6.937600135803223,7.651328086853027,4.285439968109131,7.651328086853027
N5000_3840x2160,5000,2160,3840,10.304811887741089,9.860832214355469,13.000415802001953,15.276032447814941,8.646656036376953,15.276032447814941
N8000_1920x1080,8000,1080,1920,3.2533395075798035,2.8293120861053467,5.132287979125977,5.584896087646484,2.7392001152038574,5.584896087646484
N8000_2560x1440,8000,1440,2560,4.969052453041076,4.346879959106445,6.708223819732666,7.0089921951293945,4.282144069671631,7.0089921951293945
N8000_3840x2160,8000,2160,3840,10.290979223251343,9.884672164916992,13.107199668884277,14.290752410888672,8.621055603027344,14.290752410888672
N15000_1920x1080,15000,1080,1920,3.244328007698059,2.84553599357605,4.899839878082275,5.248000144958496,2.7750399112701416,5.248000144958496
N15000_2560x1440,15000,1440,2560,5.086192951202393,4.374527931213379,6.936511993408203,7.462912082672119,4.305920124053955,7.462912082672119
N15000_3840x2160,15000,2160,3840,10.273531818389893,9.891839981079102,12.687359809875488,13.34886360168457,8.665087699890137,13.34886360168457
